ING,aromatic,sweet,sour,spicy,creamy,bitter ,salty,fruity,nutty,alcoholic,drink,fizzy_drink,fruit juice,dairy,syrups,
papaya,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,
drambuie,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
orgeat syrup,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
tropicana,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,
honey,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
pina colada mix,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,
angostura bitters,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
apricot brandy,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,
coconut milk,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,
pink lemonade,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,
cherry liqueur,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,
lime vodka,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,
lemon-lime soda,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,
powdered sugar,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
anisette,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,
cinnamon,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
aquavit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
coriander,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
tomato juice,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,
maple syrup,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
schweppes russchian,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
fruit,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,
surge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
rumple minze,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
strawberry liqueur,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,
orange juice,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,
anise,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
soda water,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,
yellow chartreuse,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
kummel,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
egg white,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,
guava juice,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,
apricot,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,
whipped cream,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,
allspice,1,0,0,1,0,0,0,,0,0,0,0,0,0,0,
gold tequila,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,
lime juice cordial,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,
passion fruit syrup,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,
cream,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,
maraschino liqueur,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,
pineapple juice,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,
white rum,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,
cornstarch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
blackcurrant cordial,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,
olive brine,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
pineapple syrup,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,
condensed milk,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,
salt,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
pineapple juice,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,
lemon,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,
agave syrup,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
orange juice,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,
maraschino liqueur,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,
sherbet,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,
aperol,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
mint syrup,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
cumin seed,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
olive,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
daiquiri mix,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,
pepsi cola,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,
